name,ra,dec,dist,pmra,pmdec,rv,rcluster,n_star
King_4,39.028,59.023999999999994,2645.502645502646,-0.575,-0.084,0,0.052000000000000005,0
King_5,48.681999999999995,52.695,2724.795640326975,-0.282,-1.2,0,0.091,0
King_6,51.982,56.443999999999996,742.9420505200595,3.864,-1.814,0,0.159,0
King_7,59.783,51.785,3496.503496503496,1.121,-1.196,0,0.06,0
King_8,87.324,33.633,7633.587786259542,0.52,-1.743,0,0.025,0
King_9,333.87699999999995,54.405,7751.937984496124,-2.28,-0.972,0,0.027999999999999997,0
Koposov_10,86.861,35.427,3039.5136778115507,0.457,-1.78,0,0.04,0
Koposov_12,90.245,35.287,2525.252525252525,0.6990000000000001,-1.732,0,0.078,0
Koposov_36,84.21799999999999,31.21,1848.4288354898335,0.804,-3.668,0,0.064,0
Koposov_43,88.079,29.901,5555.555555555556,-0.037000000000000005,-1.6640000000000001,0,0.033,0
Koposov_53,92.221,26.264,5555.555555555556,0.242,-0.632,0,0.039,0
Koposov_63,92.499,24.566999999999997,4854.368932038835,0.546,-0.447,0,0.043,0
Kronberger_1,82.089,34.777,2257.3363431151242,-0.05,-2.199,0,0.013999999999999999,0
Kronberger_25,275.66700000000003,-14.727,3731.3432835820895,-0.34299999999999997,-1.827,0,0.006999999999999999,0
Kronberger_4,296.297,28.16,8403.361344537814,-2.542,-4.836,0,0.013999999999999999,0
Kronberger_52,299.536,30.883000000000003,9433.962264150943,-2.622,-4.837,0,0.024,0
Kronberger_54,300.778,31.968000000000004,5128.205128205128,-2.596,-5.209,0,0.006,0
Kronberger_57,305.986,36.602,3636.363636363636,-3.54,-4.406000000000001,0,0.012,0
Kronberger_69,300.499,31.42,2849.0028490028485,-2.741,-5.246,0,0.033,0
Kronberger_79,293.478,18.522000000000002,6756.756756756756,-2.718,-5.33,0,0.015,0
Kronberger_80,317.954,52.379,14084.507042253523,-2.329,-2.887,0,0.015,0
Kronberger_81,321.547,53.534,4385.964912280701,-2.61,-3.324,0,0.045,0
Kronberger_84,323.884,53.516999999999996,4444.444444444444,-3.085,-2.908,0,0.019,0
Kronberger_85,119.59,-34.77,14492.753623188404,-1.265,2.815,0,0.025,0
LDN_988e,316.027,50.245,626.5664160401003,1.181,-3.56,0,0.024,0
LP_1218,273.976,-18.099,2739.72602739726,-0.034,-1.161,0,0.06,0
LP_1235,281.846,-5.255,2132.1961620469083,0.41,-2.124,0,0.107,0
LP_145,256.976,-44.157,1919.3857965451054,-2.0909999999999997,-5.4239999999999995,0,0.122,0
LP_1540,170.21900000000002,-59.302,2890.173410404624,-5.245,1.807,0,0.061,0
LP_1624,266.582,-29.175,2083.3333333333335,1.705,-0.777,0,0.125,0
LP_1800,337.843,58.053000000000004,1418.4397163120568,-4.592,-2.648,0,0.21,0
LP_198,112.12700000000001,-20.107,3597.122302158273,-2.262,2.497,0,0.096,0
LP_1994,191.005,-58.096000000000004,1996.007984031936,-2.174,-1.294,0,0.141,0
LP_2000,319.099,57.463,1408.4507042253522,-3.102,-4.407,0,0.18,0
LP_2059,153.233,-60.885,2118.64406779661,-6.337000000000001,3.073,0,0.191,0
